,Sorah_name,Sorah_num,Ayah_num,Ayah_text
0,الفاتحة,1,1,بسم الله الرحمن الرحيم
1,الفاتحة,1,2,الحمد لله رب العالمين
2,الفاتحة,1,3,الرحمن الرحيم
3,الفاتحة,1,4,مالك يوم الدين
4,الفاتحة,1,5,اياك نعبد واياك نستعين
5,الفاتحة,1,6,اهدنا الصراط المستقيم
6,الفاتحة,1,7,صراط الذين انعمت عليهم غير المغضوب عليهم ولا الضالين
7,البقرة,2,1,بسم الله الرحمن الرحيم الم
8,البقرة,2,2,ذلك الكتاب لا ريب فيه هدى للمتقين
9,البقرة,2,3,الذين يؤمنون بالغيب ويقيمون الصلاه ومما رزقناهم ينفقون
10,البقرة,2,4,والذين يؤمنون بما انزل اليك وما انزل من قبلك وبالاخره هم يوقنون
11,البقرة,2,5,اولئك على هدى من ربهم واولئك هم المفلحون
12,البقرة,2,6,ان الذين كفروا سواء عليهم اانذرتهم ام لم تنذرهم لا يؤمنون
13,البقرة,2,7,ختم الله على قلوبهم وعلى سمعهم وعلى ابصارهم غشاوه ولهم عذاب عظيم
14,البقرة,2,8,ومن الناس من يقول امنا بالله وباليوم الاخر وما هم بمؤمنين
15,البقرة,2,9,يخادعون الله والذين امنوا وما يخدعون الا انفسهم وما يشعرون
16,البقرة,2,10,في قلوبهم مرض فزادهم الله مرضا ولهم عذاب اليم بما كانوا يكذبون
17,البقرة,2,11,واذا قيل لهم لا تفسدوا في الارض قالوا انما نحن مصلحون
18,البقرة,2,12,الا انهم هم المفسدون ولكن لا يشعرون
19,البقرة,2,13,واذا قيل لهم امنوا كما امن الناس قالوا انؤمن كما امن السفهاء الا انهم هم السفهاء ولكن لا يعلمون
20,البقرة,2,14,واذا لقوا الذين امنوا قالوا امنا واذا خلوا الى شياطينهم قالوا انا معكم انما نحن مستهزئون
21,البقرة,2,15,الله يستهزئ بهم ويمدهم في طغيانهم يعمهون
22,البقرة,2,16,اولئك الذين اشتروا الضلاله بالهدى فما ربحت تجارتهم وما كانوا مهتدين
23,البقرة,2,17,مثلهم كمثل الذي استوقد نارا فلما اضاءت ما حوله ذهب الله بنورهم وتركهم في ظلمات لا يبصرون
24,البقرة,2,18,صم بكم عمي فهم لا يرجعون
